"ACL00","STARTIME","UNIT","SEX","GEO","TIME","Value"
"Total","From 15:50 to 15:59","Participation rate (%)","Females","Romania","2010","100"
"Total","From 16:00 to 16:09","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 16:00 to 16:09","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 16:00 to 16:09","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 16:00 to 16:09","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 16:00 to 16:09","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","From 16:00 to 16:09","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","From 16:00 to 16:09","Participation rate (%)","Total","Serbia","2000","-1"
"Total","From 16:00 to 16:09","Participation rate (%)","Total","Serbia","2010","100"
"Total","From 16:00 to 16:09","Participation rate (%)","Total","Romania","2000","-1"
"Total","From 16:00 to 16:09","Participation rate (%)","Total","Romania","2010","100"
"Total","From 16:00 to 16:09","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","From 16:00 to 16:09","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","From 16:00 to 16:09","Participation rate (%)","Males","Turkey","2000","-1"
"Total","From 16:00 to 16:09","Participation rate (%)","Males","Turkey","2010","100"
"Total","From 16:00 to 16:09","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","From 16:00 to 16:09","Participation rate (%)","Males","Slovenia","2010","-1"
"Total","From 16:00 to 16:09","Participation rate (%)","Males","Serbia","2000","-1"
"Total","From 16:00 to 16:09","Participation rate (%)","Males","Serbia","2010","100"
"Total","From 16:00 to 16:09","Participation rate (%)","Males","Romania","2000","-1"
"Total","From 16:00 to 16:09","Participation rate (%)","Males","Romania","2010","100"
"Total","From 16:00 to 16:09","Participation rate (%)","Females","United Kingdom","2000","100.00"
"Total","From 16:00 to 16:09","Participation rate (%)","Females","United Kingdom","2010","100"
"Total","From 16:00 to 16:09","Participation rate (%)","Females","Turkey","2000","-1"
"Total","From 16:00 to 16:09","Participation rate (%)","Females","Turkey","2010","100"
"Total","From 16:00 to 16:09","Participation rate (%)","Females","Slovenia","2000","100.00"
"Total","From 16:00 to 16:09","Participation rate (%)","Females","Slovenia","2010","-1"
"Total","From 16:00 to 16:09","Participation rate (%)","Females","Serbia","2000","-1"
"Total","From 16:00 to 16:09","Participation rate (%)","Females","Serbia","2010","100"
"Total","From 16:00 to 16:09","Participation rate (%)","Females","Romania","2000","-1"
"Total","From 16:00 to 16:09","Participation rate (%)","Females","Romania","2010","100"
"Total","From 16:10 to 16:19","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 16:10 to 16:19","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 16:10 to 16:19","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 16:10 to 16:19","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 16:10 to 16:19","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","From 16:10 to 16:19","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","From 16:10 to 16:19","Participation rate (%)","Total","Serbia","2000","-1"
"Total","From 16:10 to 16:19","Participation rate (%)","Total","Serbia","2010","100"
"Total","From 16:10 to 16:19","Participation rate (%)","Total","Romania","2000","-1"
"Total","From 16:10 to 16:19","Participation rate (%)","Total","Romania","2010","100"
"Total","From 16:10 to 16:19","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","From 16:10 to 16:19","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","From 16:10 to 16:19","Participation rate (%)","Males","Turkey","2000","-1"
"Total","From 16:10 to 16:19","Participation rate (%)","Males","Turkey","2010","100"
"Total","From 16:10 to 16:19","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","From 16:10 to 16:19","Participation rate (%)","Males","Slovenia","2010","-1"
"Total","From 16:10 to 16:19","Participation rate (%)","Males","Serbia","2000","-1"
"Total","From 16:10 to 16:19","Participation rate (%)","Males","Serbia","2010","100"
"Total","From 16:10 to 16:19","Participation rate (%)","Males","Romania","2000","-1"
"Total","From 16:10 to 16:19","Participation rate (%)","Males","Romania","2010","100"
"Total","From 16:10 to 16:19","Participation rate (%)","Females","United Kingdom","2000","100.00"
"Total","From 16:10 to 16:19","Participation rate (%)","Females","United Kingdom","2010","100"
"Total","From 16:10 to 16:19","Participation rate (%)","Females","Turkey","2000","-1"
"Total","From 16:10 to 16:19","Participation rate (%)","Females","Turkey","2010","100"
"Total","From 16:10 to 16:19","Participation rate (%)","Females","Slovenia","2000","100.00"
"Total","From 16:10 to 16:19","Participation rate (%)","Females","Slovenia","2010","-1"
"Total","From 16:10 to 16:19","Participation rate (%)","Females","Serbia","2000","-1"
"Total","From 16:10 to 16:19","Participation rate (%)","Females","Serbia","2010","100"
"Total","From 16:10 to 16:19","Participation rate (%)","Females","Romania","2000","-1"
"Total","From 16:10 to 16:19","Participation rate (%)","Females","Romania","2010","100"
"Total","From 16:20 to 16:29","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 16:20 to 16:29","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 16:20 to 16:29","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 16:20 to 16:29","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 16:20 to 16:29","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","From 16:20 to 16:29","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","From 16:20 to 16:29","Participation rate (%)","Total","Serbia","2000","-1"
"Total","From 16:20 to 16:29","Participation rate (%)","Total","Serbia","2010","100"
"Total","From 16:20 to 16:29","Participation rate (%)","Total","Romania","2000","-1"
"Total","From 16:20 to 16:29","Participation rate (%)","Total","Romania","2010","100"
"Total","From 16:20 to 16:29","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","From 16:20 to 16:29","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","From 16:20 to 16:29","Participation rate (%)","Males","Turkey","2000","-1"
"Total","From 16:20 to 16:29","Participation rate (%)","Males","Turkey","2010","100"
"Total","From 16:20 to 16:29","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","From 16:20 to 16:29","Participation rate (%)","Males","Slovenia","2010","-1"
"Total","From 16:20 to 16:29","Participation rate (%)","Males","Serbia","2000","-1"
"Total","From 16:20 to 16:29","Participation rate (%)","Males","Serbia","2010","100"
"Total","From 16:20 to 16:29","Participation rate (%)","Males","Romania","2000","-1"
"Total","From 16:20 to 16:29","Participation rate (%)","Males","Romania","2010","100"
"Total","From 16:20 to 16:29","Participation rate (%)","Females","United Kingdom","2000","100.00"
"Total","From 16:20 to 16:29","Participation rate (%)","Females","United Kingdom","2010","100"
"Total","From 16:20 to 16:29","Participation rate (%)","Females","Turkey","2000","-1"
"Total","From 16:20 to 16:29","Participation rate (%)","Females","Turkey","2010","100"
"Total","From 16:20 to 16:29","Participation rate (%)","Females","Slovenia","2000","100.00"
"Total","From 16:20 to 16:29","Participation rate (%)","Females","Slovenia","2010","-1"
"Total","From 16:20 to 16:29","Participation rate (%)","Females","Serbia","2000","-1"
"Total","From 16:20 to 16:29","Participation rate (%)","Females","Serbia","2010","100"
"Total","From 16:20 to 16:29","Participation rate (%)","Females","Romania","2000","-1"
"Total","From 16:20 to 16:29","Participation rate (%)","Females","Romania","2010","100"
"Total","From 16:30 to 16:39","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 16:30 to 16:39","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 16:30 to 16:39","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 16:30 to 16:39","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 16:30 to 16:39","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","From 16:30 to 16:39","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","From 16:30 to 16:39","Participation rate (%)","Total","Serbia","2000","-1"
"Total","From 16:30 to 16:39","Participation rate (%)","Total","Serbia","2010","100"
"Total","From 16:30 to 16:39","Participation rate (%)","Total","Romania","2000","-1"
"Total","From 16:30 to 16:39","Participation rate (%)","Total","Romania","2010","100"
"Total","From 16:30 to 16:39","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","From 16:30 to 16:39","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","From 16:30 to 16:39","Participation rate (%)","Males","Turkey","2000","-1"
"Total","From 16:30 to 16:39","Participation rate (%)","Males","Turkey","2010","100"
"Total","From 16:30 to 16:39","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","From 16:30 to 16:39","Participation rate (%)","Males","Slovenia","2010","-1"
"Total","From 16:30 to 16:39","Participation rate (%)","Males","Serbia","2000","-1"
"Total","From 16:30 to 16:39","Participation rate (%)","Males","Serbia","2010","100"
"Total","From 16:30 to 16:39","Participation rate (%)","Males","Romania","2000","-1"
"Total","From 16:30 to 16:39","Participation rate (%)","Males","Romania","2010","100"
"Total","From 16:30 to 16:39","Participation rate (%)","Females","United Kingdom","2000","100.00"
"Total","From 16:30 to 16:39","Participation rate (%)","Females","United Kingdom","2010","100"
"Total","From 16:30 to 16:39","Participation rate (%)","Females","Turkey","2000","-1"
"Total","From 16:30 to 16:39","Participation rate (%)","Females","Turkey","2010","100"
"Total","From 16:30 to 16:39","Participation rate (%)","Females","Slovenia","2000","100.00"
"Total","From 16:30 to 16:39","Participation rate (%)","Females","Slovenia","2010","-1"
"Total","From 16:30 to 16:39","Participation rate (%)","Females","Serbia","2000","-1"
"Total","From 16:30 to 16:39","Participation rate (%)","Females","Serbia","2010","100"
"Total","From 16:30 to 16:39","Participation rate (%)","Females","Romania","2000","-1"
"Total","From 16:30 to 16:39","Participation rate (%)","Females","Romania","2010","100"
"Total","From 16:40 to 16:49","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 16:40 to 16:49","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 16:40 to 16:49","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 16:40 to 16:49","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 16:40 to 16:49","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","From 16:40 to 16:49","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","From 16:40 to 16:49","Participation rate (%)","Total","Serbia","2000","-1"
"Total","From 16:40 to 16:49","Participation rate (%)","Total","Serbia","2010","100"
"Total","From 16:40 to 16:49","Participation rate (%)","Total","Romania","2000","-1"
"Total","From 16:40 to 16:49","Participation rate (%)","Total","Romania","2010","100"
"Total","From 16:40 to 16:49","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","From 16:40 to 16:49","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","From 16:40 to 16:49","Participation rate (%)","Males","Turkey","2000","-1"
"Total","From 16:40 to 16:49","Participation rate (%)","Males","Turkey","2010","100"
"Total","From 16:40 to 16:49","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","From 16:40 to 16:49","Participation rate (%)","Males","Slovenia","2010","-1"
"Total","From 16:40 to 16:49","Participation rate (%)","Males","Serbia","2000","-1"
"Total","From 16:40 to 16:49","Participation rate (%)","Males","Serbia","2010","100"
"Total","From 16:40 to 16:49","Participation rate (%)","Males","Romania","2000","-1"
"Total","From 16:40 to 16:49","Participation rate (%)","Males","Romania","2010","100"
"Total","From 16:40 to 16:49","Participation rate (%)","Females","United Kingdom","2000","100.00"
"Total","From 16:40 to 16:49","Participation rate (%)","Females","United Kingdom","2010","100"
"Total","From 16:40 to 16:49","Participation rate (%)","Females","Turkey","2000","-1"
"Total","From 16:40 to 16:49","Participation rate (%)","Females","Turkey","2010","100"
"Total","From 16:40 to 16:49","Participation rate (%)","Females","Slovenia","2000","100.00"
"Total","From 16:40 to 16:49","Participation rate (%)","Females","Slovenia","2010","-1"
"Total","From 16:40 to 16:49","Participation rate (%)","Females","Serbia","2000","-1"
"Total","From 16:40 to 16:49","Participation rate (%)","Females","Serbia","2010","100"
"Total","From 16:40 to 16:49","Participation rate (%)","Females","Romania","2000","-1"
"Total","From 16:40 to 16:49","Participation rate (%)","Females","Romania","2010","100"
"Total","From 16:50 to 16:59","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 16:50 to 16:59","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 16:50 to 16:59","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 16:50 to 16:59","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 16:50 to 16:59","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","From 16:50 to 16:59","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","From 16:50 to 16:59","Participation rate (%)","Total","Serbia","2000","-1"
"Total","From 16:50 to 16:59","Participation rate (%)","Total","Serbia","2010","100"
"Total","From 16:50 to 16:59","Participation rate (%)","Total","Romania","2000","-1"
"Total","From 16:50 to 16:59","Participation rate (%)","Total","Romania","2010","100"
"Total","From 16:50 to 16:59","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","From 16:50 to 16:59","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","From 16:50 to 16:59","Participation rate (%)","Males","Turkey","2000","-1"
"Total","From 16:50 to 16:59","Participation rate (%)","Males","Turkey","2010","100"
"Total","From 16:50 to 16:59","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","From 16:50 to 16:59","Participation rate (%)","Males","Slovenia","2010","-1"
"Total","From 16:50 to 16:59","Participation rate (%)","Males","Serbia","2000","-1"
"Total","From 16:50 to 16:59","Participation rate (%)","Males","Serbia","2010","100"
"Total","From 16:50 to 16:59","Participation rate (%)","Males","Romania","2000","-1"
"Total","From 16:50 to 16:59","Participation rate (%)","Males","Romania","2010","100"
"Total","From 16:50 to 16:59","Participation rate (%)","Females","United Kingdom","2000","100.00"
"Total","From 16:50 to 16:59","Participation rate (%)","Females","United Kingdom","2010","100"
"Total","From 16:50 to 16:59","Participation rate (%)","Females","Turkey","2000","-1"
"Total","From 16:50 to 16:59","Participation rate (%)","Females","Turkey","2010","100"
"Total","From 16:50 to 16:59","Participation rate (%)","Females","Slovenia","2000","100.00"
"Total","From 16:50 to 16:59","Participation rate (%)","Females","Slovenia","2010","-1"
"Total","From 16:50 to 16:59","Participation rate (%)","Females","Serbia","2000","-1"
"Total","From 16:50 to 16:59","Participation rate (%)","Females","Serbia","2010","100"
"Total","From 16:50 to 16:59","Participation rate (%)","Females","Romania","2000","-1"
"Total","From 16:50 to 16:59","Participation rate (%)","Females","Romania","2010","100"
"Total","From 17:00 to 17:09","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 17:00 to 17:09","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 17:00 to 17:09","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 17:00 to 17:09","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 17:00 to 17:09","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","From 17:00 to 17:09","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","From 17:00 to 17:09","Participation rate (%)","Total","Serbia","2000","-1"
"Total","From 17:00 to 17:09","Participation rate (%)","Total","Serbia","2010","100"
"Total","From 17:00 to 17:09","Participation rate (%)","Total","Romania","2000","-1"
"Total","From 17:00 to 17:09","Participation rate (%)","Total","Romania","2010","100"
"Total","From 17:00 to 17:09","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","From 17:00 to 17:09","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","From 17:00 to 17:09","Participation rate (%)","Males","Turkey","2000","-1"
"Total","From 17:00 to 17:09","Participation rate (%)","Males","Turkey","2010","100"
"Total","From 17:00 to 17:09","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","From 17:00 to 17:09","Participation rate (%)","Males","Slovenia","2010","-1"
"Total","From 17:00 to 17:09","Participation rate (%)","Males","Serbia","2000","-1"
"Total","From 17:00 to 17:09","Participation rate (%)","Males","Serbia","2010","100"
"Total","From 17:00 to 17:09","Participation rate (%)","Males","Romania","2000","-1"
"Total","From 17:00 to 17:09","Participation rate (%)","Males","Romania","2010","100"
"Total","From 17:00 to 17:09","Participation rate (%)","Females","United Kingdom","2000","100.00"
"Total","From 17:00 to 17:09","Participation rate (%)","Females","United Kingdom","2010","100"
"Total","From 17:00 to 17:09","Participation rate (%)","Females","Turkey","2000","-1"
"Total","From 17:00 to 17:09","Participation rate (%)","Females","Turkey","2010","100"
"Total","From 17:00 to 17:09","Participation rate (%)","Females","Slovenia","2000","100.00"
"Total","From 17:00 to 17:09","Participation rate (%)","Females","Slovenia","2010","-1"
"Total","From 17:00 to 17:09","Participation rate (%)","Females","Serbia","2000","-1"
"Total","From 17:00 to 17:09","Participation rate (%)","Females","Serbia","2010","100"
"Total","From 17:00 to 17:09","Participation rate (%)","Females","Romania","2000","-1"
"Total","From 17:00 to 17:09","Participation rate (%)","Females","Romania","2010","100"
"Total","From 17:10 to 17:19","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 17:10 to 17:19","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 17:10 to 17:19","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 17:10 to 17:19","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 17:10 to 17:19","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","From 17:10 to 17:19","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","From 17:10 to 17:19","Participation rate (%)","Total","Serbia","2000","-1"
"Total","From 17:10 to 17:19","Participation rate (%)","Total","Serbia","2010","100"
"Total","From 17:10 to 17:19","Participation rate (%)","Total","Romania","2000","-1"
"Total","From 17:10 to 17:19","Participation rate (%)","Total","Romania","2010","100"
"Total","From 17:10 to 17:19","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","From 17:10 to 17:19","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","From 17:10 to 17:19","Participation rate (%)","Males","Turkey","2000","-1"
"Total","From 17:10 to 17:19","Participation rate (%)","Males","Turkey","2010","100"
"Total","From 17:10 to 17:19","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","From 17:10 to 17:19","Participation rate (%)","Males","Slovenia","2010","-1"
"Total","From 17:10 to 17:19","Participation rate (%)","Males","Serbia","2000","-1"
"Total","From 17:10 to 17:19","Participation rate (%)","Males","Serbia","2010","100"
"Total","From 17:10 to 17:19","Participation rate (%)","Males","Romania","2000","-1"
"Total","From 17:10 to 17:19","Participation rate (%)","Males","Romania","2010","100"
"Total","From 17:10 to 17:19","Participation rate (%)","Females","United Kingdom","2000","100.00"
"Total","From 17:10 to 17:19","Participation rate (%)","Females","United Kingdom","2010","100"
"Total","From 17:10 to 17:19","Participation rate (%)","Females","Turkey","2000","-1"
"Total","From 17:10 to 17:19","Participation rate (%)","Females","Turkey","2010","100"
"Total","From 17:10 to 17:19","Participation rate (%)","Females","Slovenia","2000","100.00"
"Total","From 17:10 to 17:19","Participation rate (%)","Females","Slovenia","2010","-1"
"Total","From 17:10 to 17:19","Participation rate (%)","Females","Serbia","2000","-1"
"Total","From 17:10 to 17:19","Participation rate (%)","Females","Serbia","2010","100"
"Total","From 17:10 to 17:19","Participation rate (%)","Females","Romania","2000","-1"
"Total","From 17:10 to 17:19","Participation rate (%)","Females","Romania","2010","100"
"Total","From 17:20 to 17:29","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 17:20 to 17:29","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 17:20 to 17:29","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 17:20 to 17:29","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 17:20 to 17:29","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","From 17:20 to 17:29","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","From 17:20 to 17:29","Participation rate (%)","Total","Serbia","2000","-1"
"Total","From 17:20 to 17:29","Participation rate (%)","Total","Serbia","2010","100"
"Total","From 17:20 to 17:29","Participation rate (%)","Total","Romania","2000","-1"
"Total","From 17:20 to 17:29","Participation rate (%)","Total","Romania","2010","100"
"Total","From 17:20 to 17:29","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","From 17:20 to 17:29","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","From 17:20 to 17:29","Participation rate (%)","Males","Turkey","2000","-1"
"Total","From 17:20 to 17:29","Participation rate (%)","Males","Turkey","2010","100"
"Total","From 17:20 to 17:29","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","From 17:20 to 17:29","Participation rate (%)","Males","Slovenia","2010","-1"
"Total","From 17:20 to 17:29","Participation rate (%)","Males","Serbia","2000","-1"
"Total","From 17:20 to 17:29","Participation rate (%)","Males","Serbia","2010","100"
"Total","From 17:20 to 17:29","Participation rate (%)","Males","Romania","2000","-1"
"Total","From 17:20 to 17:29","Participation rate (%)","Males","Romania","2010","100"
"Total","From 17:20 to 17:29","Participation rate (%)","Females","United Kingdom","2000","100.00"
"Total","From 17:20 to 17:29","Participation rate (%)","Females","United Kingdom","2010","100"
"Total","From 17:20 to 17:29","Participation rate (%)","Females","Turkey","2000","-1"
"Total","From 17:20 to 17:29","Participation rate (%)","Females","Turkey","2010","100"
"Total","From 17:20 to 17:29","Participation rate (%)","Females","Slovenia","2000","100.00"
"Total","From 17:20 to 17:29","Participation rate (%)","Females","Slovenia","2010","-1"
"Total","From 17:20 to 17:29","Participation rate (%)","Females","Serbia","2000","-1"
"Total","From 17:20 to 17:29","Participation rate (%)","Females","Serbia","2010","100"
"Total","From 17:20 to 17:29","Participation rate (%)","Females","Romania","2000","-1"
"Total","From 17:20 to 17:29","Participation rate (%)","Females","Romania","2010","100"
"Total","From 17:30 to 17:39","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 17:30 to 17:39","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 17:30 to 17:39","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 17:30 to 17:39","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 17:30 to 17:39","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","From 17:30 to 17:39","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","From 17:30 to 17:39","Participation rate (%)","Total","Serbia","2000","-1"
"Total","From 17:30 to 17:39","Participation rate (%)","Total","Serbia","2010","100"
"Total","From 17:30 to 17:39","Participation rate (%)","Total","Romania","2000","-1"
"Total","From 17:30 to 17:39","Participation rate (%)","Total","Romania","2010","100"
"Total","From 17:30 to 17:39","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","From 17:30 to 17:39","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","From 17:30 to 17:39","Participation rate (%)","Males","Turkey","2000","-1"
"Total","From 17:30 to 17:39","Participation rate (%)","Males","Turkey","2010","100"
"Total","From 17:30 to 17:39","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","From 17:30 to 17:39","Participation rate (%)","Males","Slovenia","2010","-1"
"Total","From 17:30 to 17:39","Participation rate (%)","Males","Serbia","2000","-1"
"Total","From 17:30 to 17:39","Participation rate (%)","Males","Serbia","2010","100"
"Total","From 17:30 to 17:39","Participation rate (%)","Males","Romania","2000","-1"
"Total","From 17:30 to 17:39","Participation rate (%)","Males","Romania","2010","100"
"Total","From 17:30 to 17:39","Participation rate (%)","Females","United Kingdom","2000","100.00"
"Total","From 17:30 to 17:39","Participation rate (%)","Females","United Kingdom","2010","100"
"Total","From 17:30 to 17:39","Participation rate (%)","Females","Turkey","2000","-1"
"Total","From 17:30 to 17:39","Participation rate (%)","Females","Turkey","2010","100"
"Total","From 17:30 to 17:39","Participation rate (%)","Females","Slovenia","2000","100.00"
"Total","From 17:30 to 17:39","Participation rate (%)","Females","Slovenia","2010","-1"
"Total","From 17:30 to 17:39","Participation rate (%)","Females","Serbia","2000","-1"
"Total","From 17:30 to 17:39","Participation rate (%)","Females","Serbia","2010","100"
"Total","From 17:30 to 17:39","Participation rate (%)","Females","Romania","2000","-1"
"Total","From 17:30 to 17:39","Participation rate (%)","Females","Romania","2010","100"
"Total","From 17:40 to 17:49","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 17:40 to 17:49","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 17:40 to 17:49","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 17:40 to 17:49","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 17:40 to 17:49","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","From 17:40 to 17:49","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","From 17:40 to 17:49","Participation rate (%)","Total","Serbia","2000","-1"
"Total","From 17:40 to 17:49","Participation rate (%)","Total","Serbia","2010","100"
"Total","From 17:40 to 17:49","Participation rate (%)","Total","Romania","2000","-1"
"Total","From 17:40 to 17:49","Participation rate (%)","Total","Romania","2010","100"
"Total","From 17:40 to 17:49","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","From 17:40 to 17:49","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","From 17:40 to 17:49","Participation rate (%)","Males","Turkey","2000","-1"
"Total","From 17:40 to 17:49","Participation rate (%)","Males","Turkey","2010","100"
"Total","From 17:40 to 17:49","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","From 17:40 to 17:49","Participation rate (%)","Males","Slovenia","2010","-1"
"Total","From 17:40 to 17:49","Participation rate (%)","Males","Serbia","2000","-1"
"Total","From 17:40 to 17:49","Participation rate (%)","Males","Serbia","2010","100"
"Total","From 17:40 to 17:49","Participation rate (%)","Males","Romania","2000","-1"
"Total","From 17:40 to 17:49","Participation rate (%)","Males","Romania","2010","100"
"Total","From 17:40 to 17:49","Participation rate (%)","Females","United Kingdom","2000","100.00"
"Total","From 17:40 to 17:49","Participation rate (%)","Females","United Kingdom","2010","100"
"Total","From 17:40 to 17:49","Participation rate (%)","Females","Turkey","2000","-1"
"Total","From 17:40 to 17:49","Participation rate (%)","Females","Turkey","2010","100"
"Total","From 17:40 to 17:49","Participation rate (%)","Females","Slovenia","2000","100.00"
"Total","From 17:40 to 17:49","Participation rate (%)","Females","Slovenia","2010","-1"
"Total","From 17:40 to 17:49","Participation rate (%)","Females","Serbia","2000","-1"
"Total","From 17:40 to 17:49","Participation rate (%)","Females","Serbia","2010","100"
"Total","From 17:40 to 17:49","Participation rate (%)","Females","Romania","2000","-1"
"Total","From 17:40 to 17:49","Participation rate (%)","Females","Romania","2010","100"
"Total","From 17:50 to 17:59","Participation rate (%)","Total","United Kingdom","2000","100.00"
"Total","From 17:50 to 17:59","Participation rate (%)","Total","United Kingdom","2010","100"
"Total","From 17:50 to 17:59","Participation rate (%)","Total","Turkey","2000","-1"
"Total","From 17:50 to 17:59","Participation rate (%)","Total","Turkey","2010","100"
"Total","From 17:50 to 17:59","Participation rate (%)","Total","Slovenia","2000","100.00"
"Total","From 17:50 to 17:59","Participation rate (%)","Total","Slovenia","2010","-1"
"Total","From 17:50 to 17:59","Participation rate (%)","Total","Serbia","2000","-1"
"Total","From 17:50 to 17:59","Participation rate (%)","Total","Serbia","2010","100"
"Total","From 17:50 to 17:59","Participation rate (%)","Total","Romania","2000","-1"
"Total","From 17:50 to 17:59","Participation rate (%)","Total","Romania","2010","100"
"Total","From 17:50 to 17:59","Participation rate (%)","Males","United Kingdom","2000","100.00"
"Total","From 17:50 to 17:59","Participation rate (%)","Males","United Kingdom","2010","100"
"Total","From 17:50 to 17:59","Participation rate (%)","Males","Turkey","2000","-1"
"Total","From 17:50 to 17:59","Participation rate (%)","Males","Turkey","2010","100"
"Total","From 17:50 to 17:59","Participation rate (%)","Males","Slovenia","2000","100.00"
"Total","From 17:50 to 17:59","Participation rate (%)","Males","Slovenia","2010","-1"
